id,sc_match_id,sc_player_id,fixture_id,player_id,player_name,player_birthdate,match_name,match_date,team_id,team_name,competition_id,competition_name,season_id,season_name,competition_edition_id,position,group,quality_check,count_match,count_match_failed,minutes_played_per_match,adjusted_min_tip_per_match,adjusted_min_otip_per_match,dist_per_match,hsr_dist_per_match,sprint_dist_per_match,count_hsr_per_match,count_sprint_per_match,count_high_accel_per_match,count_high_decel_per_match,top_speed_per_match,dist_tip_per_match,dist_otip_per_match,hsr_dist_tip_per_match,hsr_dist_otip_per_match,sprint_dist_tip_per_match,sprint_dist_otip_per_match,dist_p90,hsr_dist_p90,sprint_dist_p90,count_hsr_p90,count_sprint_p90,count_high_accel_p90,count_high_decel_p90,dist_p60bip,hsr_dist_p60bip,sprint_dist_p60bip,count_hsr_p60bip,count_sprint_p60bip,count_high_accel_p60bip,count_high_decel_p60bip,dist_p30tip,hsr_dist_p30tip,sprint_dist_p30tip,dist_tip_p30tip,hsr_dist_tip_p30tip,dist_p30otip,hsr_dist_p30otip,sprint_dist_p30otip,dist_otip_p30otip,hsr_dist_otip_p30otip
,2024655,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Barnsley FC,2025-08-02,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,76.38,,,8047.0,405.0,113.0,39.0,6.0,9.0,16.0,7.56,,,,,,,9481.93,477.22,133.15,45.95,7.07,10.6,18.85,,,,,,,,,,,,,,,,,
,2025745,,,1460,Brendan Galloway,1996-03-17,Bolton Wanderers v Plymouth Argyle,2025-08-09,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,79.22,,,8576.0,469.0,244.0,56.0,14.0,9.0,9.0,8.86,,,,,,,9742.99,532.82,277.2,63.62,15.91,10.22,10.22,,,,,,,,,,,,,,,,,
,2027066,,,1460,Brendan Galloway,1996-03-17,Lincoln City FC v Plymouth Argyle,2025-08-16,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LCB,Central Defender,True,,,52.52,,,5104.0,240.0,72.0,23.0,4.0,7.0,6.0,7.92,,,,,,,8746.38,411.27,123.38,39.41,6.85,12.0,10.28,,,,,,,,,,,,,,,,,
,2027568,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Leyton Orient FC,2025-08-19,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LCB,Central Defender,True,,,97.7,,,11375.0,660.0,273.0,61.0,15.0,6.0,15.0,8.89,,,,,,,10478.51,607.98,251.48,56.19,13.82,5.53,13.82,,,,,,,,,,,,,,,,,
,2028091,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Blackpool,2025-08-23,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LCB,Central Defender,True,,,72.48,,,7891.0,392.0,125.0,34.0,6.0,4.0,6.0,8.39,,,,,,,9798.43,486.75,155.22,42.22,7.45,4.97,7.45,,,,,,,,,,,,,,,,,
,2030646,,,1460,Brendan Galloway,1996-03-17,Luton Town v Plymouth Argyle,2025-09-13,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,48.98,,,5207.0,202.0,72.0,16.0,2.0,3.0,6.0,7.97,,,,,,,9567.78,371.17,132.3,29.4,3.67,5.51,11.02,,,,,,,,,,,,,,,,,
,2031991,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Peterborough United,2025-09-20,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LCB,Central Defender,True,,,50.1,,,5736.0,260.0,161.0,29.0,10.0,4.0,9.0,8.44,,,,,,,10304.19,467.07,289.22,52.1,17.96,7.19,16.17,,,,,,,,,,,,,,,,,
,2034765,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Wigan Athletic,2025-10-04,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LCB,Central Defender,True,,,97.3,,,10061.0,443.0,171.0,38.0,8.0,2.0,8.0,8.06,,,,,,,9306.17,409.76,158.17,35.15,7.4,1.85,7.4,,,,,,,,,,,,,,,,,
,2037516,,,1460,Brendan Galloway,1996-03-17,Exeter City FC v Plymouth Argyle,2025-10-23,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LCB,Central Defender,True,,,99.08,,,10930.0,524.0,213.0,61.0,14.0,9.0,22.0,8.25,,,,,,,9928.34,475.98,193.48,55.41,12.72,8.18,19.98,,,,,,,,,,,,,,,,,
,2038470,,,1460,Brendan Galloway,1996-03-17,Mansfield Town FC v Plymouth Argyle,2025-10-28,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LCB,Central Defender,True,,,98.58,,,11687.0,820.0,275.0,76.0,17.0,8.0,21.0,8.69,,,,,,,10669.81,748.63,251.07,69.39,15.52,7.3,19.17,,,,,,,,,,,,,,,,,
,2040602,,,1460,Brendan Galloway,1996-03-17,Huddersfield Town v Plymouth Argyle,2025-11-08,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LCB,Central Defender,True,,,98.3,,,10848.0,654.0,268.0,72.0,19.0,10.0,15.0,8.28,,,,,,,9932.04,598.78,245.37,65.92,17.4,9.16,13.73,,,,,,,,,,,,,,,,,
,2044465,,,1460,Brendan Galloway,1996-03-17,Port Vale FC v Plymouth Argyle,2025-11-22,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,71.7,,,7637.0,414.0,207.0,47.0,10.0,4.0,19.0,8.75,,,,,,,9586.19,519.67,259.83,59.0,12.55,5.02,23.85,,,,,,,,,,,,,,,,,
,2045512,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Northampton Town FC,2025-11-29,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,71.52,,,7996.0,510.0,221.0,48.0,9.0,4.0,14.0,8.06,,,,,,,10062.08,641.78,278.1,60.4,11.33,5.03,17.62,,,,,,,,,,,,,,,,,
,2047392,,,1460,Brendan Galloway,1996-03-17,Wycombe Wanderers v Plymouth Argyle,2025-12-09,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,87.67,,,9499.0,484.0,232.0,56.0,15.0,13.0,13.0,8.61,,,,,,,9751.45,496.86,238.17,57.49,15.4,13.35,13.35,,,,,,,,,,,,,,,,,
,2047693,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Rotherham United,2025-12-13,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,99.13,,,11118.0,708.0,273.0,69.0,16.0,11.0,17.0,8.64,,,,,,,10094.02,642.79,247.86,62.65,14.53,9.99,15.43,,,,,,,,,,,,,,,,,
,2049251,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Burton Albion,2026-01-04,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,103.1,,,11202.0,544.0,155.0,49.0,6.0,8.0,15.0,8.25,,,,,,,9778.66,474.88,135.31,42.77,5.24,6.98,13.09,,,,,,,,,,,,,,,,,
,2050123,,,1460,Brendan Galloway,1996-03-17,Peterborough United v Plymouth Argyle,2026-01-17,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,107.13,,,10782.0,509.0,283.0,62.0,13.0,10.0,17.0,8.64,,,,,,,9057.97,427.61,237.75,52.09,10.92,8.4,14.28,,,,,,,,,,,,,,,,,
,2050990,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Luton Town,2026-01-24,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,102.68,,,11435.0,639.0,293.0,73.0,14.0,6.0,17.0,8.11,,,,,,,10022.89,560.09,256.82,63.99,12.27,5.26,14.9,,,,,,,,,,,,,,,,,
,2051414,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Mansfield Town FC,2026-01-27,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,96.22,,,10891.0,471.0,129.0,43.0,8.0,9.0,17.0,8.28,,,,,,,10186.97,440.55,120.66,40.22,7.48,8.42,15.9,,,,,,,,,,,,,,,,,
,2051973,,,1460,Brendan Galloway,1996-03-17,Stockport County FC v Plymouth Argyle,2026-01-31,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,63.88,,,8034.0,570.0,47.0,43.0,5.0,2.0,15.0,7.14,,,,,,,11319.04,803.07,66.22,60.58,7.04,2.82,21.13,,,,,,,,,,,,,,,,,
,2059221,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Stevenage FC,2026-03-17,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,LB,Full Back,True,,,19.73,,,2053.0,69.0,55.0,8.0,1.0,2.0,5.0,8.94,,,,,,,9364.93,314.75,250.89,36.49,4.56,9.12,22.81,,,,,,,,,,,,,,,,,
,2059839,,,1460,Brendan Galloway,1996-03-17,Plymouth Argyle v Huddersfield Town,2026-03-21,1728,Plymouth Argyle,101,ENG - League One,129,2025/2026,1211,CF,Center Forward,True,,,8.22,,,940.0,52.0,8.0,3.0,0.0,1.0,1.0,7.19,,,,,,,10291.97,569.34,87.59,32.85,0.0,10.95,10.95,,,,,,,,,,,,,,,,,
,2030725,,,1571,Callum  McManaman,1991-04-25,Wigan Athletic v Doncaster Rovers FC,2025-09-13,38,Wigan Athletic,101,ENG - League One,129,2025/2026,1211,RWB,Full Back,True,,,4.77,,,580.0,36.0,11.0,3.0,0.0,2.0,1.0,6.42,,,,,,,10943.4,679.25,207.55,56.6,0.0,37.74,18.87,,,,,,,,,,,,,,,,,
